mom,id,AP,n_loci
urb32,53,44.44444444444444,9
urb32,550,50,9
urb32,618,50,9
urb32,635,50,9
urb32,64,44.44444444444444,9
urb32,658,38.888888888888886,9
urb32,72,44.44444444444444,9
urb33,4366,50,9
urb33,4367,38.888888888888886,9
urb33,4368,33.333333333333336,9
urb33,4369,50,9
urb33,4371,37.5,8
urb33,4372,56.25,8
urb33,4373,50,8
urb33,4374,55.55555555555556,9
urb33,4375,55.55555555555556,9
urb33,4376,56.25,8
urb33,4377,62.5,8
urb33,4378,50,9
urb33,4379,44.44444444444444,9
urb33,4380,55.55555555555556,9
urb33,4381,75,8
urb33,4382,50,9
urb34,3741,57.142857142857146,7
urb34,3742,56.25,8
urb34,3743,50,8
urb34,3745,44.44444444444444,9
urb34,3748,43.75,8
urb34,3750,37.5,8
urb34,3751A,50,8
urb34,3751B,50,9
urb34,3753,50,9
urb34,3754,56.25,8
urb34,3755,56.25,8
urb34,3756A,44.44444444444444,9
urb34,3756B,50,8
urb34,3758,43.75,8
urb34,3759,55.55555555555556,9
urb35,5037A,50,8
urb35,5037B,50,8
urb35,5038,44.44444444444444,9
urb35,5039,50,9
urb35,5040,50,8
urb35,5042,55.55555555555556,9
urb35,5043,62.5,8
urb35,5044,43.75,8
urb35,5045,50,8
urb35,5046,62.5,8
urb35,5047,56.25,8
urb35,5048,64.28571428571429,7
urb35,5049,61.111111111111114,9
urb35,5051,61.111111111111114,9
urb35,5052,56.25,8
urb35,5063,61.111111111111114,9
